國文,英文,數學,社會,自然
10,6,8,11,10
11,11,15,15,8
9,12,13,14,14
6,14,8,10,9
10,15,15,12,7
8,12,6,12,10
10,13,14,9,10
11,7,14,15,13
6,9,7,9,7
12,11,13,15,7
7,9,11,10,14
14,7,7,8,9
9,12,7,7,11
12,13,11,8,11
12,13,12,6,6
10,13,14,15,11
9,7,8,12,9
12,8,14,11,13
12,8,6,15,13
7,6,9,15,11
9,11,12,12,15
15,15,15,10,12
12,11,12,12,9
13,12,14,11,6
6,8,14,13,8
10,15,7,13,13
8,14,10,12,9
6,11,15,14,11
7,13,11,15,15
6,10,10,6,15
11,15,15,15,14
13,9,10,11,14
8,12,6,7,9
12,9,14,11,7
9,7,6,9,10
15,7,14,15,7
15,10,10,12,15
8,7,8,12,6
6,10,15,6,7
6,8,7,7,13
6,12,15,14,10
15,14,12,10,14
9,12,15,14,12
15,13,8,9,10
9,9,12,6,9
11,12,8,9,9
13,12,6,15,8
13,8,15,14,14
12,11,10,15,12
11,11,15,12,11
10,12,9,8,10
9,11,15,10,8
13,7,12,13,15
15,6,7,10,14
6,14,7,10,7
15,15,6,15,8
15,14,10,11,9
14,10,10,6,13
12,9,10,8,14
9,11,6,13,9
11,6,10,13,11
11,10,12,11,13
7,15,13,10,11
13,8,7,14,8
15,12,10,6,10
8,10,12,8,15
15,7,9,10,10
6,7,14,11,7
15,9,10,10,6
14,9,7,13,9
6,15,12,15,14
14,10,11,10,9
9,14,8,11,15
11,6,6,13,15
8,7,14,12,9
10,13,7,9,15
7,8,6,14,13
6,9,14,9,14
8,15,8,12,6
14,7,8,11,9
9,12,11,6,15
6,15,11,8,10
7,14,7,9,9
14,11,9,9,11
11,13,13,9,15
9,9,9,14,12
14,6,11,12,12
14,13,6,9,6
9,9,11,12,7
8,9,7,13,7
10,15,6,14,12
14,7,14,13,11
15,14,13,10,12
6,12,6,9,14
15,6,13,13,12
7,8,15,13,6
14,15,6,6,6
14,9,10,8,8
9,12,9,11,9
11,10,9,10,6
